Model,MSO2014
Firmware Version,1.35

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.04,
Sample Interval,3.2e-06,
Filter Frequency,4.2e+07,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,5,
Label,,
TIME,CH1,CH1 Peak Detect
-2.01376e-02,-5.3,-5.5
-2.01344e-02,-5.3,-5.1
-2.01312e-02,-5.3,-5.5
-2.01280e-02,-5.3,-5.1
-2.01248e-02,-5.3,-5.5
-2.01216e-02,-5.3,-5.1
-2.01184e-02,-5.3,-5.5
-2.01152e-02,-5.3,-5.1
-2.01120e-02,-5.3,-5.5
-2.01088e-02,-5.3,-5.1
-2.01056e-02,-5.3,-5.5
-2.01024e-02,-5.3,-5.1
-2.00992e-02,-5.3,-5.5
-2.00960e-02,-5.5,-5.1
-2.00928e-02,-5.5,-5.7
-2.00896e-02,-5.5,-5.1
-2.00864e-02,-5.5,-5.7
-2.00832e-02,-5.5,-5.3
-2.00800e-02,-5.5,-5.7
-2.00768e-02,-5.5,-5.3
-2.00736e-02,-5.5,-5.7
-2.00704e-02,-5.5,-5.3
-2.00672e-02,-5.5,-5.7
-2.00640e-02,-5.5,-5.3
-2.00608e-02,-5.5,-5.7
-2.00576e-02,-5.5,-5.3
-2.00544e-02,-5.5,-5.7
-2.00512e-02,-5.3,-5.3
-2.00480e-02,-5.3,-5.7
-2.00448e-02,-5.5,-5.3
-2.00416e-02,-5.5,-5.7
-2.00384e-02,-5.3,-5.3
-2.00352e-02,-5.3,-5.7
-2.00320e-02,-5.3,-5.3
-2.00288e-02,-5.3,-5.7
-2.00256e-02,-5.3,-5.3
-2.00224e-02,-5.3,-5.7
-2.00192e-02,-5.3,-5.1
-2.00160e-02,-5.3,-5.7
-2.00128e-02,-5.3,-5.1
-2.00096e-02,-5.3,-5.5
-2.00064e-02,-5.5,-5.1
-2.00032e-02,-5.3,-5.5
-2.00000e-02,-5.3,-5.1
-1.99968e-02,-5.3,-5.7
-1.99936e-02,-5.3,-5.1
-1.99904e-02,-5.3,-5.5
-1.99872e-02,-5.3,-5.1
-1.99840e-02,-5.3,-5.5
-1.99808e-02,-5.3,-5.1
-1.99776e-02,-5.3,-5.5
-1.99744e-02,-5.3,-5.1
-1.99712e-02,-5.3,-5.5
-1.99680e-02,-5.3,-5.1
-1.99648e-02,-5.3,-5.5
-1.99616e-02,-5.3,-5.1
-1.99584e-02,-5.3,-5.5
-1.99552e-02,-5.3,-5.1
-1.99520e-02,-5.3,-5.5
-1.99488e-02,-5.3,-5.1
-1.99456e-02,-5.3,-5.5
-1.99424e-02,-5.3,-5.1
-1.99392e-02,-5.3,-5.5
-1.99360e-02,-5.3,-5.1
-1.99328e-02,-5.3,-5.5
-1.99296e-02,-5.3,-5.1
-1.99264e-02,-5.3,-5.5
-1.99232e-02,-5.3,-5.1
-1.99200e-02,-5.3,-5.5
-1.99168e-02,-5.3,-5.1
-1.99136e-02,-5.3,-5.5
-1.99104e-02,-5.3,-5.1
-1.99072e-02,-5.3,-5.5
-1.99040e-02,-5.5,-5.1
-1.99008e-02,-5.5,-5.7
-1.98976e-02,-5.5,-5.1
-1.98944e-02,-5.5,-5.7
-1.98912e-02,-5.5,-5.3
-1.98880e-02,-5.5,-5.7
-1.98848e-02,-5.5,-5.3
-1.98816e-02,-5.5,-5.7
-1.98784e-02,-5.5,-5.3
-1.98752e-02,-5.5,-5.7
-1.98720e-02,-5.5,-5.3
-1.98688e-02,-5.3,-5.7
-1.98656e-02,-5.5,-5.3
-1.98624e-02,-5.5,-5.7
-1.98592e-02,-5.5,-5.3
-1.98560e-02,-5.3,-5.7
-1.98528e-02,-5.3,-5.3
-1.98496e-02,-5.3,-5.7
-1.98464e-02,-5.3,-5.1
-1.98432e-02,-5.3,-5.7
-1.98400e-02,-5.3,-5.3
-1.98368e-02,-5.3,-5.7
-1.98336e-02,-5.5,-5.3
-1.98304e-02,-5.3,-5.7
-1.98272e-02,-5.3,-5.3
-1.98240e-02,-5.3,-5.7
-1.98208e-02,-5.3,-5.3
-1.98176e-02,-5.3,-5.7
-1.98144e-02,-5.5,-5.1
-1.98112e-02,-5.3,-5.7
-1.98080e-02,-5.3,-5.1
-1.98048e-02,-5.3,-5.5
-1.98016e-02,-5.5,-5.1
-1.97984e-02,-5.3,-5.5
-1.97952e-02,-5.3,-5.1
-1.97920e-02,-5.3,-5.5
-1.97888e-02,-5.3,-5.1
-1.97856e-02,-5.3,-5.5
-1.97824e-02,-5.3,-5.1
-1.97792e-02,-5.3,-5.5
-1.97760e-02,-5.3,-5.1
-1.97728e-02,-5.3,-5.5
-1.97696e-02,-5.3,-5.1
-1.97664e-02,-5.3,-5.5
-1.97632e-02,-5.3,-5.1
-1.97600e-02,-5.3,-5.5
-1.97568e-02,-5.3,-5.1
-1.97536e-02,-5.3,-5.5
-1.97504e-02,-5.3,-5.1
-1.97472e-02,-5.3,-5.5
-1.97440e-02,-5.3,-5.1
-1.97408e-02,-5.3,-5.5
-1.97376e-02,-5.3,-5.1
-1.97344e-02,-5.3,-5.5
-1.97312e-02,-5.3,-5.1
-1.97280e-02,-5.3,-5.5
-1.97248e-02,-5.3,-5.1
-1.97216e-02,-5.3,-5.5
-1.97184e-02,-5.3,-5.1
-1.97152e-02,-5.3,-5.5
-1.97120e-02,-5.5,-5.1
-1.97088e-02,-5.5,-5.7
-1.97056e-02,-5.5,-5.1
-1.97024e-02,-5.5,-5.7
-1.96992e-02,-5.5,-5.3
-1.96960e-02,-5.3,-5.7
-1.96928e-02,-5.5,-5.3
-1.96896e-02,-5.5,-5.7
-1.96864e-02,-5.5,-5.3
-1.96832e-02,-5.3,-5.7
-1.96800e-02,-5.5,-5.3
-1.96768e-02,-5.3,-5.7
-1.96736e-02,-5.5,-5.3
-1.96704e-02,-5.5,-5.7
-1.96672e-02,-5.5,-5.3
-1.96640e-02,-5.5,-5.7
-1.96608e-02,-5.3,-5.1
-1.96576e-02,-5.5,-5.7
-1.96544e-02,-5.3,-5.3
-1.96512e-02,-5.5,-5.7
-1.96480e-02,-5.3,-5.3
-1.96448e-02,-5.3,-5.7
-1.96416e-02,-5.3,-5.1
-1.96384e-02,-5.3,-5.7
-1.96352e-02,-5.3,-5.1
-1.96320e-02,-5.5,-5.7
-1.96288e-02,-5.3,-5.1
-1.96256e-02,-5.3,-5.7
-1.96224e-02,-5.3,-5.1
-1.96192e-02,-5.3,-5.7
-1.96160e-02,-5.3,-5.1
-1.96128e-02,-5.3,-5.5
-1.96096e-02,-5.3,-5.1
-1.96064e-02,-5.3,-5.7
-1.96032e-02,-5.3,-5.1
-1.96000e-02,-5.3,-5.7
-1.95968e-02,-5.3,-5.1
-1.95936e-02,-5.3,-5.5
-1.95904e-02,-5.3,-5.1
-1.95872e-02,-5.3,-5.7
-1.95840e-02,-5.3,-5.1
-1.95808e-02,-5.3,-5.5
-1.95776e-02,-5.3,-5.1
-1.95744e-02,-5.3,-5.5
-1.95712e-02,-5.3,-5.1
-1.95680e-02,-5.3,-5.5
-1.95648e-02,-5.3,-5.1
-1.95616e-02,-5.3,-5.5
-1.95584e-02,-5.3,-5.1
-1.95552e-02,-5.3,-5.5
-1.95520e-02,-5.3,-5.1
-1.95488e-02,-5.3,-5.5
-1.95456e-02,-5.3,-5.1
-1.95424e-02,-5.3,-5.5
-1.95392e-02,-5.3,-5.1
-1.95360e-02,-5.3,-5.5
-1.95328e-02,-5.3,-5.1
-1.95296e-02,-5.3,-5.5
-1.95264e-02,-5.3,-5.1
-1.95232e-02,-5.3,-5.5
-1.95200e-02,-5.5,-5.1
-1.95168e-02,-5.5,-5.7
-1.95136e-02,-5.5,-5.1
-1.95104e-02,-5.5,-5.7
-1.95072e-02,-5.5,-5.3
-1.95040e-02,-5.5,-5.7
-1.95008e-02,-5.5,-5.3
-1.94976e-02,-5.5,-5.7
-1.94944e-02,-5.5,-5.3
-1.94912e-02,-5.5,-5.7
-1.94880e-02,-5.3,-5.3
-1.94848e-02,-5.5,-5.7
-1.94816e-02,-5.5,-5.3
-1.94784e-02,-5.5,-5.7
-1.94752e-02,-5.3,-5.3
-1.94720e-02,-5.5,-5.7
-1.94688e-02,-5.5,-5.3
-1.94656e-02,-5.5,-5.7
-1.94624e-02,-5.5,-5.3
-1.94592e-02,-5.5,-5.7
-1.94560e-02,-5.5,-5.3
-1.94528e-02,-5.3,-5.7
-1.94496e-02,-5.5,-5.1
-1.94464e-02,-5.3,-5.7
-1.94432e-02,-5.3,-5.3
-1.94400e-02,-5.5,-5.7
-1.94368e-02,-5.3,-5.1
-1.94336e-02,-5.5,-5.5
-1.94304e-02,-5.3,-5.1
-1.94272e-02,-5.3,-5.7
-1.94240e-02,-5.3,-5.1
-1.94208e-02,-5.3,-5.5
-1.94176e-02,-5.3,-5.1
-1.94144e-02,-5.3,-5.5
-1.94112e-02,-5.3,-5.1
-1.94080e-02,-5.3,-5.5
-1.94048e-02,-5.3,-5.1
-1.94016e-02,-5.3,-5.5
-1.93984e-02,-5.3,-5.1
-1.93952e-02,-5.3,-5.5
-1.93920e-02,-5.3,-5.1
-1.93888e-02,-5.3,-5.5
-1.93856e-02,-5.3,-5.1
-1.93824e-02,-5.3,-5.5
-1.93792e-02,-5.3,-5.1
-1.93760e-02,-5.3,-5.5
-1.93728e-02,-5.3,-5.1
-1.93696e-02,-5.3,-5.5
-1.93664e-02,-5.3,-5.1
-1.93632e-02,-5.3,-5.5
-1.93600e-02,-5.3,-5.1
-1.93568e-02,-5.3,-5.5
-1.93536e-02,-5.3,-5.1
-1.93504e-02,-5.3,-5.5
-1.93472e-02,-5.3,-5.1
-1.93440e-02,-5.3,-5.5
-1.93408e-02,-5.3,-5.1
-1.93376e-02,-5.3,-5.5
-1.93344e-02,-5.3,-5.1
-1.93312e-02,-5.3,-5.5
-1.93280e-02,-5.5,-5.1
-1.93248e-02,-5.5,-5.7
-1.93216e-02,-5.5,-5.1
-1.93184e-02,-5.5,-5.7
-1.93152e-02,-5.5,-5.3
-1.93120e-02,-5.5,-5.7
-1.93088e-02,-5.5,-5.3
-1.93056e-02,-5.5,-5.7
-1.93024e-02,-5.3,-5.3
-1.92992e-02,-5.5,-5.7
-1.92960e-02,-5.3,-5.3
-1.92928e-02,-5.5,-5.7
-1.92896e-02,-5.5,-5.3
-1.92864e-02,-5.5,-5.7
-1.92832e-02,-5.3,-5.3
-1.92800e-02,-5.3,-5.7
-1.92768e-02,-5.5,-5.3
-1.92736e-02,-5.3,-5.7
-1.92704e-02,-5.5,-5.3
-1.92672e-02,-5.5,-5.7
-1.92640e-02,-5.5,-5.3
-1.92608e-02,-5.5,-5.7
-1.92576e-02,-5.3,-5.3
-1.92544e-02,-5.3,-5.7
-1.92512e-02,-5.5,-5.3
-1.92480e-02,-5.3,-5.5
-1.92448e-02,-5.3,-5.3
-1.92416e-02,-5.5,-5.5
-1.92384e-02,-5.3,-5.1
-1.92352e-02,-5.3,-5.5
-1.92320e-02,-5.5,-5.1
-1.92288e-02,-5.3,-5.5
-1.92256e-02,-5.3,-5.1
-1.92224e-02,-5.3,-5.5
-1.92192e-02,-5.5,-5.1
-1.92160e-02,-5.3,-5.5
-1.92128e-02,-5.3,-5.1
-1.92096e-02,-5.3,-5.5
-1.92064e-02,-5.3,-5.1
-1.92032e-02,-5.3,-5.5
-1.92000e-02,-5.3,-5.1
-1.91968e-02,-5.3,-5.5
-1.91936e-02,-5.3,-5.1
-1.91904e-02,-5.3,-5.5
-1.91872e-02,-5.3,-5.1
-1.91840e-02,-5.3,-5.5
-1.91808e-02,-5.3,-5.1
-1.91776e-02,-5.3,-5.5
-1.91744e-02,-5.3,-5.1
-1.91712e-02,-5.3,-5.5
-1.91680e-02,-5.3,-5.1
-1.91648e-02,-5.3,-5.5
-1.91616e-02,-5.3,-5.1
-1.91584e-02,-5.3,-5.5
-1.91552e-02,-5.3,-5.1
-1.91520e-02,-5.3,-5.5
-1.91488e-02,-5.3,-5.1
-1.91456e-02,-5.3,-5.5
-1.91424e-02,-5.3,-5.1
-1.91392e-02,-5.3,-5.5
-1.91360e-02,-5.5,-5.1
-1.91328e-02,-5.5,-5.7
-1.91296e-02,-5.5,-5.1
-1.91264e-02,-5.5,-5.7
-1.91232e-02,-5.5,-5.3
-1.91200e-02,-5.5,-5.7
-1.91168e-02,-5.5,-5.3
-1.91136e-02,-5.5,-5.7
-1.91104e-02,-5.5,-5.3
-1.91072e-02,-5.5,-5.7
-1.91040e-02,-5.5,-5.3
-1.91008e-02,-5.5,-5.7
-1.90976e-02,-5.5,-5.3
-1.90944e-02,-5.5,-5.7
-1.90912e-02,-5.5,-5.3
-1.90880e-02,-5.3,-5.7
-1.90848e-02,-5.3,-5.3
-1.90816e-02,-5.5,-5.7
-1.90784e-02,-5.3,-5.3
-1.90752e-02,-5.3,-5.7
-1.90720e-02,-5.3,-5.3
-1.90688e-02,-5.5,-5.7
-1.90656e-02,-5.5,-5.3
-1.90624e-02,-5.3,-5.7
-1.90592e-02,-5.3,-5.1
-1.90560e-02,-5.3,-5.5
-1.90528e-02,-5.3,-5.3
-1.90496e-02,-5.3,-5.7
-1.90464e-02,-5.3,-5.1
-1.90432e-02,-5.3,-5.7
-1.90400e-02,-5.3,-5.1
-1.90368e-02,-5.3,-5.7
-1.90336e-02,-5.3,-5.1
-1.90304e-02,-5.3,-5.5
-1.90272e-02,-5.3,-5.1
-1.90240e-02,-5.3,-5.5
-1.90208e-02,-5.3,-5.1
-1.90176e-02,-5.3,-5.5
-1.90144e-02,-5.3,-5.1
-1.90112e-02,-5.3,-5.5
-1.90080e-02,-5.3,-5.1
-1.90048e-02,-5.3,-5.5
-1.90016e-02,-5.3,-5.1
-1.89984e-02,-5.3,-5.5
-1.89952e-02,-5.3,-5.1
-1.89920e-02,-5.3,-5.5
-1.89888e-02,-5.3,-5.1
-1.89856e-02,-5.3,-5.5
-1.89824e-02,-5.3,-5.1
-1.89792e-02,-5.3,-5.5
-1.89760e-02,-5.3,-5.1
-1.89728e-02,-5.3,-5.5
-1.89696e-02,-5.3,-5.1
-1.89664e-02,-5.3,-5.5
-1.89632e-02,-5.3,-5.1
-1.89600e-02,-5.3,-5.5
-1.89568e-02,-5.3,-5.1
-1.89536e-02,-5.3,-5.5
-1.89504e-02,-5.3,-5.1
-1.89472e-02,-5.3,-5.5
-1.89440e-02,-5.5,-5.1
-1.89408e-02,-5.5,-5.7
-1.89376e-02,-5.5,-5.1
-1.89344e-02,-5.5,-5.7
-1.89312e-02,-5.5,-5.3
-1.89280e-02,-5.5,-5.7
-1.89248e-02,-5.5,-5.3
-1.89216e-02,-5.5,-5.7
-1.89184e-02,-5.5,-5.3
-1.89152e-02,-5.5,-5.7
-1.89120e-02,-5.3,-5.3
-1.89088e-02,-5.5,-5.7
-1.89056e-02,-5.5,-5.3
-1.89024e-02,-5.5,-5.7
-1.88992e-02,-5.5,-5.3
-1.88960e-02,-5.5,-5.7
-1.88928e-02,-5.3,-5.3
-1.88896e-02,-5.3,-5.7
-1.88864e-02,-5.5,-5.3
-1.88832e-02,-5.3,-5.7
-1.88800e-02,-5.3,-5.3
-1.88768e-02,-5.5,-5.7
-1.88736e-02,-5.5,-5.1
-1.88704e-02,-5.5,-5.7
-1.88672e-02,-5.3,-5.3
-1.88640e-02,-5.3,-5.7
-1.88608e-02,-5.3,-5.1
-1.88576e-02,-5.3,-5.5
-1.88544e-02,-5.3,-5.3
-1.88512e-02,-5.3,-5.5
-1.88480e-02,-5.3,-5.1
-1.88448e-02,-5.3,-5.5
-1.88416e-02,-5.3,-5.1
-1.88384e-02,-5.3,-5.5
-1.88352e-02,-5.3,-5.1
-1.88320e-02,-5.3,-5.5
-1.88288e-02,-5.3,-5.1
-1.88256e-02,-5.3,-5.5
-1.88224e-02,-5.3,-5.1
-1.88192e-02,-5.3,-5.5
-1.88160e-02,-5.3,-5.1
-1.88128e-02,-5.3,-5.5
-1.88096e-02,-5.3,-5.1
-1.88064e-02,-5.3,-5.5
-1.88032e-02,-5.3,-5.1
-1.88000e-02,-5.3,-5.5
-1.87968e-02,-5.3,-5.1
-1.87936e-02,-5.3,-5.5
-1.87904e-02,-5.3,-5.1
-1.87872e-02,-5.3,-5.5
-1.87840e-02,-5.3,-5.1
-1.87808e-02,-5.3,-5.5
-1.87776e-02,-5.3,-5.1
-1.87744e-02,-5.3,-5.5
-1.87712e-02,-5.3,-5.1
-1.87680e-02,-5.3,-5.5
-1.87648e-02,-5.3,-5.1
-1.87616e-02,-5.3,-5.5
-1.87584e-02,-5.3,-5.1
-1.87552e-02,-5.5,-5.5
-1.87520e-02,-5.5,-5.1
-1.87488e-02,-5.5,-5.7
-1.87456e-02,-5.5,-5.1
-1.87424e-02,-5.3,-5.7
-1.87392e-02,-5.5,-5.3
-1.87360e-02,-5.5,-5.7
-1.87328e-02,-5.5,-5.3
-1.87296e-02,-5.5,-5.7
-1.87264e-02,-5.5,-5.3
-1.87232e-02,-5.5,-5.7
-1.87200e-02,-5.5,-5.1
-1.87168e-02,-5.5,-5.7
-1.87136e-02,-5.3,-5.3
-1.87104e-02,-5.3,-5.7
-1.87072e-02,-5.5,-5.3
-1.87040e-02,-5.3,-5.7
-1.87008e-02,-5.3,-5.3
-1.86976e-02,-5.5,-5.7
-1.86944e-02,-5.5,-5.3
-1.86912e-02,-5.3,-5.7
-1.86880e-02,-5.3,-5.3
-1.86848e-02,-5.3,-5.7
-1.86816e-02,-5.5,-5.3
-1.86784e-02,-5.3,-5.7
-1.86752e-02,-5.3,-5.3
-1.86720e-02,-5.3,-5.5
-1.86688e-02,-5.3,-5.3
-1.86656e-02,-5.5,-5.5
-1.86624e-02,-5.3,-5.1
-1.86592e-02,-5.3,-5.7
-1.86560e-02,-5.3,-5.1
-1.86528e-02,-5.3,-5.7
-1.86496e-02,-5.3,-5.1
-1.86464e-02,-5.3,-5.5
-1.86432e-02,-5.3,-5.1
-1.86400e-02,-5.3,-5.5
-1.86368e-02,-5.3,-5.1
-1.86336e-02,-5.3,-5.5
-1.86304e-02,-5.3,-5.1
-1.86272e-02,-5.3,-5.5
-1.86240e-02,-5.3,-5.1
-1.86208e-02,-5.3,-5.5
-1.86176e-02,-5.3,-5.1
-1.86144e-02,-5.3,-5.5
-1.86112e-02,-5.3,-5.1
-1.86080e-02,-5.3,-5.5
-1.86048e-02,-5.3,-5.1
-1.86016e-02,-5.3,-5.5
-1.85984e-02,-5.3,-5.1
-1.85952e-02,-5.3,-5.5
-1.85920e-02,-5.3,-5.1
-1.85888e-02,-5.3,-5.5
-1.85856e-02,-5.3,-5.1
-1.85824e-02,-5.3,-5.5
-1.85792e-02,-5.3,-5.1
-1.85760e-02,-5.3,-5.5
-1.85728e-02,-5.3,-5.1
-1.85696e-02,-5.3,-5.5
-1.85664e-02,-5.3,-5.1
-1.85632e-02,-5.3,-5.5
-1.85600e-02,-5.5,-5.1
-1.85568e-02,-5.5,-5.7
-1.85536e-02,-5.5,-5.1
-1.85504e-02,-5.5,-5.7
-1.85472e-02,-5.5,-5.3
-1.85440e-02,-5.5,-5.7
-1.85408e-02,-5.5,-5.3
-1.85376e-02,-5.5,-5.7
-1.85344e-02,-5.5,-5.3
-1.85312e-02,-5.5,-5.7
-1.85280e-02,-5.5,-5.3
-1.85248e-02,-5.5,-5.7
-1.85216e-02,-5.3,-5.3
-1.85184e-02,-5.5,-5.7
-1.85152e-02,-5.5,-5.3
-1.85120e-02,-5.5,-5.7
-1.85088e-02,-5.5,-5.3
-1.85056e-02,-5.5,-5.7
-1.85024e-02,-5.5,-5.3
-1.84992e-02,-5.5,-5.7
-1.84960e-02,-5.3,-5.3
-1.84928e-02,-5.5,-5.7
-1.84896e-02,-5.5,-5.3
-1.84864e-02,-5.3,-5.5
-1.84832e-02,-5.3,-5.1
-1.84800e-02,-5.3,-5.5
-1.84768e-02,-5.3,-5.1
-1.84736e-02,-5.3,-5.5
-1.84704e-02,-5.3,-5.3
-1.84672e-02,-5.3,-5.7
-1.84640e-02,-5.3,-5.1
-1.84608e-02,-5.3,-5.5
-1.84576e-02,-5.3,-5.1
-1.84544e-02,-5.3,-5.5
-1.84512e-02,-5.3,-5.1
-1.84480e-02,-5.3,-5.5
-1.84448e-02,-5.3,-5.1
-1.84416e-02,-5.3,-5.5
-1.84384e-02,-5.3,-5.1
-1.84352e-02,-5.3,-5.5
-1.84320e-02,-5.3,-5.1
-1.84288e-02,-5.3,-5.5
-1.84256e-02,-5.3,-5.1
-1.84224e-02,-5.3,-5.5
-1.84192e-02,-5.3,-5.1
-1.84160e-02,-5.3,-5.5
-1.84128e-02,-5.3,-5.1
-1.84096e-02,-5.3,-5.5
-1.84064e-02,-5.3,-5.1
-1.84032e-02,-5.3,-5.5
-1.84000e-02,-5.3,-5.1
-1.83968e-02,-5.3,-5.5
-1.83936e-02,-5.3,-5.1
-1.83904e-02,-5.3,-5.5
-1.83872e-02,-5.3,-5.1
-1.83840e-02,-5.3,-5.5
-1.83808e-02,-5.3,-5.1
-1.83776e-02,-5.3,-5.5
-1.83744e-02,-5.3,-5.1
-1.83712e-02,-5.3,-5.5
-1.83680e-02,-5.5,-5.1
-1.83648e-02,-5.5,-5.7
-1.83616e-02,-5.5,-5.1
-1.83584e-02,-5.5,-5.7
-1.83552e-02,-5.5,-5.3
-1.83520e-02,-5.5,-5.7
-1.83488e-02,-5.5,-5.3
-1.83456e-02,-5.5,-5.7
-1.83424e-02,-5.5,-5.3
-1.83392e-02,-5.5,-5.7
-1.83360e-02,-5.5,-5.3
-1.83328e-02,-5.3,-5.7
-1.83296e-02,-5.5,-5.3
-1.83264e-02,-5.5,-5.7
-1.83232e-02,-5.5,-5.3
-1.83200e-02,-5.5,-5.7
-1.83168e-02,-5.5,-5.3
-1.83136e-02,-5.3,-5.7
-1.83104e-02,-5.3,-5.3
-1.83072e-02,-5.3,-5.7
-1.83040e-02,-5.5,-5.1
-1.83008e-02,-5.3,-5.7
-1.82976e-02,-5.3,-5.1
-1.82944e-02,-5.3,-5.7
-1.82912e-02,-5.3,-5.3
-1.82880e-02,-5.3,-5.7
-1.82848e-02,-5.3,-5.3
-1.82816e-02,-5.3,-5.7
-1.82784e-02,-5.3,-5.1
-1.82752e-02,-5.3,-5.7
-1.82720e-02,-5.3,-5.1
-1.82688e-02,-5.3,-5.5
-1.82656e-02,-5.3,-5.1
-1.82624e-02,-5.3,-5.5
-1.82592e-02,-5.3,-5.1
-1.82560e-02,-5.3,-5.5
-1.82528e-02,-5.3,-5.1
-1.82496e-02,-5.3,-5.5
-1.82464e-02,-5.3,-5.1
-1.82432e-02,-5.3,-5.5
-1.82400e-02,-5.3,-5.1
-1.82368e-02,-5.3,-5.5
-1.82336e-02,-5.3,-5.1
-1.82304e-02,-5.3,-5.5
-1.82272e-02,-5.3,-5.1
-1.82240e-02,-5.3,-5.5
-1.82208e-02,-5.3,-5.1
-1.82176e-02,-5.3,-5.5
-1.82144e-02,-5.3,-5.1
-1.82112e-02,-5.3,-5.5
-1.82080e-02,-5.3,-5.1
-1.82048e-02,-5.3,-5.5
-1.82016e-02,-5.3,-5.1
-1.81984e-02,-5.3,-5.5
-1.81952e-02,-5.3,-5.1
-1.81920e-02,-5.3,-5.5
-1.81888e-02,-5.3,-5.1
-1.81856e-02,-5.3,-5.5
-1.81824e-02,-5.3,-5.1
-1.81792e-02,-5.3,-5.5
-1.81760e-02,-5.5,-5.1
-1.81728e-02,-5.5,-5.7
-1.81696e-02,-5.5,-5.1
-1.81664e-02,-5.5,-5.7
-1.81632e-02,-5.5,-5.3
-1.81600e-02,-5.5,-5.7
-1.81568e-02,-5.5,-5.3
-1.81536e-02,-5.5,-5.7
-1.81504e-02,-5.5,-5.3
-1.81472e-02,-5.3,-5.7
-1.81440e-02,-5.3,-5.3
-1.81408e-02,-5.3,-5.7
-1.81376e-02,-5.5,-5.3
-1.81344e-02,-5.5,-5.7
-1.81312e-02,-5.3,-5.3
-1.81280e-02,-5.3,-5.7
-1.81248e-02,-5.3,-5.3
-1.81216e-02,-5.5,-5.7
-1.81184e-02,-5.3,-5.3
-1.81152e-02,-5.5,-5.7
-1.81120e-02,-5.3,-5.3
-1.81088e-02,-5.3,-5.7
-1.81056e-02,-5.3,-5.1
-1.81024e-02,-5.3,-5.7
-1.80992e-02,-5.3,-5.1
-1.80960e-02,-5.3,-5.7
-1.80928e-02,-5.3,-5.1
-1.80896e-02,-5.3,-5.5
-1.80864e-02,-5.3,-5.1
-1.80832e-02,-5.3,-5.7
-1.80800e-02,-5.3,-5.1
-1.80768e-02,-5.3,-5.5
-1.80736e-02,-5.3,-5.1
-1.80704e-02,-5.3,-5.5
-1.80672e-02,-5.3,-5.1
-1.80640e-02,-5.3,-5.5
-1.80608e-02,-5.3,-5.1
-1.80576e-02,-5.3,-5.5
-1.80544e-02,-5.3,-5.1
-1.80512e-02,-5.3,-5.5
-1.80480e-02,-5.3,-5.1
-1.80448e-02,-5.3,-5.5
-1.80416e-02,-5.3,-5.1
-1.80384e-02,-5.3,-5.5
-1.80352e-02,-5.3,-5.1
-1.80320e-02,-5.3,-5.5
-1.80288e-02,-5.3,-5.1
-1.80256e-02,-5.3,-5.5
-1.80224e-02,-5.3,-5.1
-1.80192e-02,-5.3,-5.5
-1.80160e-02,-5.3,-5.1
-1.80128e-02,-5.3,-5.5
-1.80096e-02,-5.3,-5.1
-1.80064e-02,-5.3,-5.5
-1.80032e-02,-5.3,-5.1
-1.80000e-02,-5.3,-5.5
-1.79968e-02,-5.3,-5.1
-1.79936e-02,-5.3,-5.5
-1.79904e-02,-5.3,-5.1
-1.79872e-02,-5.3,-5.5
-1.79840e-02,-5.5,-5.1
-1.79808e-02,-5.5,-5.7
-1.79776e-02,-5.5,-5.1
-1.79744e-02,-5.5,-5.7
-1.79712e-02,-5.5,-5.3
-1.79680e-02,-5.5,-5.7
-1.79648e-02,-5.5,-5.3
-1.79616e-02,-5.5,-5.7
-1.79584e-02,-5.5,-5.3
-1.79552e-02,-5.5,-5.7
-1.79520e-02,-5.5,-5.3
-1.79488e-02,-5.5,-5.7
-1.79456e-02,-5.5,-5.3
-1.79424e-02,-5.5,-5.7
-1.79392e-02,-5.5,-5.3
-1.79360e-02,-5.3,-5.7
-1.79328e-02,-5.5,-5.3
-1.79296e-02,-5.3,-5.7
-1.79264e-02,-5.5,-5.3
-1.79232e-02,-5.3,-5.7
-1.79200e-02,-5.5,-5.3
-1.79168e-02,-5.5,-5.7
-1.79136e-02,-5.5,-5.3
-1.79104e-02,-5.3,-5.7
-1.79072e-02,-5.3,-5.3
-1.79040e-02,-5.5,-5.7
-1.79008e-02,-5.3,-5.1
-1.78976e-02,-5.3,-5.5
-1.78944e-02,-5.3,-5.1
-1.78912e-02,-5.3,-5.7
-1.78880e-02,-5.3,-5.1
-1.78848e-02,-5.5,-5.5
-1.78816e-02,-5.3,-5.1
-1.78784e-02,-5.3,-5.5
-1.78752e-02,-5.3,-5.1
-1.78720e-02,-5.3,-5.5
-1.78688e-02,-5.3,-5.1
-1.78656e-02,-5.3,-5.5
-1.78624e-02,-5.3,-5.1
-1.78592e-02,-5.3,-5.5
-1.78560e-02,-5.3,-5.1
-1.78528e-02,-5.3,-5.5
-1.78496e-02,-5.3,-5.1
-1.78464e-02,-5.3,-5.5
-1.78432e-02,-5.3,-5.1
-1.78400e-02,-5.3,-5.5
-1.78368e-02,-5.3,-5.1
-1.78336e-02,-5.3,-5.5
-1.78304e-02,-5.3,-5.1
-1.78272e-02,-5.3,-5.5
-1.78240e-02,-5.3,-5.1
-1.78208e-02,-5.3,-5.5
-1.78176e-02,-5.3,-5.1
-1.78144e-02,-5.3,-5.5
